Number,Name,Other names,CAS number,CAS number search,Grade,Manufacturer,Open date,Product Size,Product size unit,Amount remain,Amount remain unit,Check date,Owner,Category,Storage,SDS,SDS version,GHS: Signal Word,Receive Date,Expire Date,Price
Bsc0801-017,LB Broth Miller,,,,,Formedium,,500,g,400,g,03/11/2025,Matsapume Detcharoen,Neutral,Chemical storage 1,,,,,,2558
Bsc0801-018,Methyl-4-hydroxybenzoate,Nipagin;Methyl paraben,99-76-3,99763,,Sigma,2025-01-01,500,g,500,g,03/11/2025,Matsapume Detcharoen,Neutral,Chemical storage 1,docs/nipagin-h5501.pdf,2024-03-01,9,,,
Bsc0801-019,"N,N,N',N'-Tetramethylethylenediamine",TEMED,110-18-9,110189,,TCI,2025-01-01,100,mL,100,mL,03/11/2025,Central Stock,Flammable,Chemical storage 3,docs/tmed-T0147_JP_EN.pdf,2025-03-28,"2,5,6,8: Danger",,,
Bsc0801-020,"N-Cetyl-N,N,N Trimethyl Ammonium Bromide",CTAB,57-09-0,57090,,Biobasic,,100,g,100,g,03/11/2025,Matsapume Detcharoen,Neutral,Chemical storage 1,docs/ctab-h6269.pdf,,,,,1200
Bsc0801-021,"N-Cetyl-N,N,N Trimethyl Ammonium Bromide",CTAB,57-09-0,57090,AR,Loba Chemie,2022-01-30,100,g,100,g,03/11/2025,Central Stock,Neutral,Chemical storage 1,docs/ctab-h6269.pdf,,,,2026-05,2076
Bsc0801-022,Phosphate-buffered saline 10x,PBS,,,,Himedia,,500,mL,500,mL,03/11/2025,Matsapume Detcharoen,Neutral,Chemical storage 1,docs/pbs-ML023.pdf,2023-01-05,NA,,2027-01,
Bsc0801-023,p-Hydroxybenzoic acid,,99-96-7,99967,,Himedia,2023-10-05,500,g,500,g,03/11/2025,Central Stock,Acid,Chemical storage 1,,2022-05-20,"5,7: Danger",,2027-08,
Bsc0801-024,Polyvinylpyrrolidone,PVP,9003-39-8,9003398,Molecular biology,Sigma,2011-09-09,50,g,25,g,03/11/2025,Central Stock,Neutral,Chemical storage 1,docs/pvp40.pdf,2025-09-13,NA,,,
Bsc0801-025,Potassium acetate,,127-08-2,127082,AR,Ajax,,500,g,400,g,03/11/2025,Central Stock,Neutral,Chemical storage 1,docs/KAC-getpdf.ashx.pdf,,,,,
Bsc0801-026,Potassium acetate,,127-08-2,127082,Molecular biology,Sigma,2011-12-20,100,g,0,g,03/11/2025,Central Stock,Neutral,Chemical storage 1,docs/KAc-p1190.pdf,2024-02-20,NA,,,
Bsc0801-027,Potassium chloride,,7447-40-7,7447407,AR,Ajax,2016-11-17,1,kg,1,kg,03/11/2025,Central Stock,Neutral,Chemical storage 1,docs/KCl-getpdf.ashx.pdf,2023-05-25,NA,,,1200
Bsc0801-028,Propionic acid,,79-09-4,79094,AR,J.T.Baker,,500,mL,300,mL,03/11/2025,Central Stock,Acid,Chemical storage 1,,,,,,700
Bsc0801-029,Silver nitrate,,7761-88-8,7761888,,POCH,,40,g,20,g,03/11/2025,Central Stock,Oxidizer,Chemical storage 4,,,,,,3000
Bsc0801-030,SOC broth,,,,,Formedium,,250,g,200,g,03/11/2025,Matsapume Detcharoen,Neutral,Chemical storage 1,,,,,2024-08,
Bsc0801-031,Sodium acetate,,127-09-3,127093,AR,Ajax,2016-11-20,500,g,400,g,03/11/2025,Central Stock,Neutral,Chemical storage 1,docs/NaAc-s2889.pdf,,,,,450
Bsc0801-032,Sodium carbonate,,497-19-8,497198,AR,Merck,,1,kg,0.4,kg,03/11/2025,Central Stock,Base,Chemical storage 2,docs/sodiumcarbonate_223530.pdf,2025-03-19,7: Warning,,,500
Bsc0801-033,Sodium carbonate,,497-19-8,497198,AR,Merck,,1,kg,1,kg,03/11/2025,Central Stock,Base,Chemical storage 2,docs/sodiumcarbonate_223530.pdf,2025-03-19,7: Warning,,,500
Bsc0801-034,Sodium chloride,,7647-14-5,7647145,Biotechnology,Amresco,2015-11-26,1,kg,0.7,kg,03/11/2025,Central Stock,Neutral,Chemical storage 1,docs/nacl-sds_VWRV0241.pdf,2023-06-15,NA,,,550
Bsc0801-035,Sodium chloride,,7647-14-5,7647145,,Amresco,,1,kg,0.7,kg,03/11/2025,Central Stock,Neutral,Chemical storage 1,docs/nacl-sds_VWRV0241.pdf,2023-06-15,NA,,,550
Bsc0801-036,Sodium Dodecyl Sulfate,SDS,151-21-3,151213,Biotechnology,Amresco,2015-12-04,100,g,60,g,03/11/2025,Central Stock,Detergent/Organic,Chemical storage 1,docs/sds_VWRV0227.pdf,2018-04-11,"2,5,7: Danger",,,750
Bsc0801-037,Sodium Dodecyl Sulfate,SDS,151-21-3,151213,Biotechnology,Amresco,,100,g,100,g,03/11/2025,Central Stock,Detergent/Organic,Chemical storage 1,,2018-04-11,"2,5,7: Danger",,,750
Bsc0801-038,Sodium hydroxide,,497-19-8,497198,AR,Ajax,2013-01-01,1,kg,1,kg,03/11/2025,Central Stock,Base,Chemical storage 2,,,,,,370
Bsc0801-039,Sodium hydroxide,,497-19-8,497198,AR,Fisher Scientific,,100,g,50,g,03/11/2025,Central Stock,Base,Chemical storage 2,docs/NaOH-NZ-000041_ASNZ_ANZ_EN.pdf,2020-07-10,5: Danger,,,
Bsc0801-040,Sodium hydroxide,,497-19-8,497198,AR,Fisher Scientific,2016-05-02,1,kg,1,kg,03/11/2025,Central Stock,Base,Chemical storage 2,docs/NaOH-NZ-000041_ASNZ_ANZ_EN.pdf,2020-07-10,5: Danger,,,
Bsc0801-041,Sodium hydroxide,,497-19-8,497198,AR,Merck,,1,kg,0.5,kg,03/11/2025,Central Stock,Base,Chemical storage 2,docs/NaOH-1.06498.pdf,2025-09-11,5: Danger,,,
Bsc0801-042,Sorbitol,,50-70-4,50704,,Merck,,1,kg,1,kg,03/11/2025,Central Stock,Neutral,Chemical storage 1,docs/sorbitol-56755-m.pdf,2025-02-05,NA,,,
Bsc0801-043,Sucrose,,57-50-1,57501,Molecular biology,Sigma,2011-12-20,500,g,200,g,03/11/2025,Central Stock,Neutral,Chemical storage 1,docs/sucrose-ghs_0335.pdf,2023-09-21,NA,,,450
Bsc0801-044,Sucrose,,57-50-1,57501,,Amresco,2015-11-26,1,kg,0.5,kg,03/11/2025,Central Stock,Neutral,Chemical storage 1,docs/sucrose-s0389.pdf,2016-01-08,NA,,,450
Bsc0801-045,Tris-Borate-EDTA,TBE,,,,VWR,,40,L,20,L,03/11/2025,Central Stock,Neutral,Chemical storage 1,docs/TBE-ghs_0478.pdf,2016-01-08,"6,7,8: Danger",,,3103
Bsc0801-046,Tetracycline HCl,,64-75-5,64755,,Merck,,25,g,25,g,03/11/2025,Central Stock,Neutral,Chemical storage 1,docs/tetracyclin-58346-m.pdf,2025-10-09,"7,8,9: Warning",,,2782
Bsc0801-047,Tris,,77-86-1,77861,Biotechnology,Amresco,2015-11-26,500,g,50,g,03/11/2025,Central Stock,Base,Chemical storage 2,docs/sds-25614810.pdf,2018-09-04,NA,,,
Bsc0801-048,Tris,,,,Molecular biology,Vivantis,,1,kg,0.1,kg,03/11/2025,Central Stock,Base,Chemical storage 2,,,,,,
Bsc0801-049,Tris hydrochloride,,1185-53-1,1185531,Proteomics,VWR,,500,g,500,g,03/11/2025,Central Stock,Neutral,Chemical storage 2,,,,,,2900
Bsc0801-050,Triton X-100,,9002-93-1,9002931,Molecular biology,Himedia,2022-12-30,100,mL,100,mL,03/11/2025,Matsapume Detcharoen,Detergent/Organic,Chemical storage 1,docs/tritonx100-MB031.pdf,2025-07-28,"5,7,9: Danger",,2026-04,1000
Bsc0801-051,Tween 20,,9005-64-5,9005645,Molecular biology,Himedia,2022-12-30,100,mL,100,mL,03/11/2025,Matsapume Detcharoen,Detergent/Organic,Chemical storage 1,docs/tween20-MB067.pdf,2025-07-18,NA,,2026-02,1000
Bsc0801-052,Ethanol absolute,,64-17-5,64176,AR,Merck,,2.5,L,2,L,05/11/2025,Patamarerk Engsontia,Flammable,Chemical storage 3,docs/ethanol_1.00983.pdf,2025-08-04,"2,7: Danger",,,2440
Bsc0801-053,Ethanol absolute,,64-17-5,64177,AR,Merck,,2.5,L,0.5,L,05/11/2025,Central Stock,Flammable,Chemical storage 3,docs/ethanol_1.00983.pdf,2025-08-04,"2,7: Danger",,,2440
Bsc0801-054,Isoamyl-alcohol,,123-51-3,123513,AR,Unilab,,2.25,L,1,L,05/11/2025,Central Stock,Flammable,Chemical storage 3,,,,,,
Bsc0801-055,Isoamyl-alcohol,,123-51-3,123513,AR,Unilab,,2.25,L,1,L,05/11/2025,Central Stock,Flammable,Chemical storage 3,,,,,,
Bsc0801-056,"N-Cetyl-N,N,N Trimethyl Ammonium Bromide",CTAB,57-09-0,57090,,Amresco,2016-01-22,500,g,300,g,12/11/2025,Jaruwan Mayakun,Neutral,Owner's shelf,docs/CATB_VWRV0833.pdf,2020-02-25,7: Warning,,,
Bsc0801-057,30% Acrylamide/Bis-acrylamide (29:1),,,,,TCI,,250,mL,250,mL,12/11/2025,Piyawat Sukbangnop,Neutral,Refrigerator,docs/acrylamideTCIA3217.pdf,2025-02-26,"7,8: Danger",2025-09-01,,
Bsc0801-058,30% Acrylamide/Bis-acrylamide (29:1),,,,,Enzmart,2025-09-01,250,mL,200,mL,12/11/2025,Patamarerk Engsontia,Neutral,Refrigerator,,,,,,
Bsc0801-059,Phenol:Chloroform:Isoamyl alcohol (25:24:1),,,,,Thermo Scientific,,100,mL,50,mL,12/11/2025,Krittika Kaewchumnong,Acid,Refrigerator,docs/phenolchloroform17908_MTR-EULT_BE.pdf,2024-08-10,"5,6,8: Danger",,,
Bsc0801-060,N-Lauroylsarcosine sodium salt >=94%,Sarkosyl salt;N-Dodecanoyl-N-methylglycine sodium salt,137-16-6,137166,,Sigma,,50,g,20,g,12/11/2025,Krittika Kaewchumnong,Detergent/Organic,Owner's shelf,docs/l5125.pdf,2025-10-15,"5,6: Danger",,,
Bsc0801-061,Ethanol absolute,,64-17-5,64175,Molecular biology,Merck,,250,mL,200,mL,12/11/2025,Pimchanok Buaphet,Flammable,Owner's shelf,,,,,,
Bsc0801-062,"Phenol 99% saturated solution in water, pH 6.6/7.9",,108-95-2,108952,Biotechnology,Amresco,,400,mL,250,mL,12/11/2025,Central Stock,Acid,Refrigerator,docs/phenolvwr_VWRV0945.pdf,2018-04-09,"5,6,8: Danger",,,
Bsc0801-063,DL-Dithiothreitol,"threo-1,4-Dimercapto-2,3-butanediol;Clelands reagent;DTT",3483-12-3,3483123,Ultra pure,Biobasic,,5,g,5,g,12/11/2025,Central Stock,Neutral,Refrigerator,docs/dtt.pdf,2022-09-22,7: Warning,,,2000
